,№,Адрес,Управляющий,Телефон,Год,Площадь м2,Жители
6,2607,"г. Новосибирск, ул. Пархоменко, д. 14",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1962,3 143.50,137
7,2608,"г. Новосибирск, ул. Пархоменко, д. 14/1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,2001,1 826.30,164
8,2609,"г. Новосибирск, ул. Пархоменко, д. 14а",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1963,3 878.00,162
9,2610,"г. Новосибирск, ул. Пархоменко, д. 16",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1965,3 310.50,149
10,2611,"г. Новосибирск, ул. Пархоменко, д. 18",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1965,3 368.60,169
11,2612,"г. Новосибирск, ул. Пархоменко, д. 20",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1966,3 289.80,152
12,2613,"г. Новосибирск, ул. Пархоменко, д. 26",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1980,13 268.80,479
13,2614,"г. Новосибирск, пер. Пархоменко 1-й, д. 4",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1932,2 626.80,136
14,2615,"г. Новосибирск, пер. Пархоменко 1-й, д. 8",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1932,2 038.00,124
15,2616,"г. Новосибирск, пер. Пархоменко 1-й, д. 12",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1932,2 018.20,127
16,2617,"г. Новосибирск, пер. Пархоменко 1-й, д. 16",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1932,2 100.70,61
17,2618,"г. Новосибирск, пер. Пархоменко 1-й, д. 18",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1930,1 734.30,109
18,2619,"г. Новосибирск, пер. Пархоменко 1-й, д. 20",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1932,1 694.25,118
19,2620,"г. Новосибирск, пер. Пархоменко 1-й, д. 22",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1931,1 710.70,120
20,2621,"г. Новосибирск, пер. Пархоменко 1-й, д. 24",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1932,1 875.60,106
21,2622,"г. Новосибирск, пер. Пархоменко 1-й, д. 26",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1932,1 689.00,87
22,2623,"г. Новосибирск, пер. Пархоменко 1-й, д. 28",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1932,1 673.18,89
23,2624,"г. Новосибирск, пер. Пархоменко 1-й, д. 30",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1964,2 538.00,120
24,2625,"г. Новосибирск, пер. Пархоменко 2-й, д. 10",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1963,2 624.00,125
1,2627,"г. Новосибирск, пер. Пархоменко 2-й, д. 12",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1971,3 384.00,142
2,2628,"г. Новосибирск, пер. Пархоменко 2-й, д. 13",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1931,1 575.20,101
3,2629,"г. Новосибирск, пер. Пархоменко 2-й, д. 15",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1931,1 703.90,111
4,2630,"г. Новосибирск, пер. Пархоменко 2-й, д. 17",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1931,1 684.50,116
5,2631,"г. Новосибирск, пер. Пархоменко 2-й, д. 19",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1932,1 704.10,106
6,2632,"г. Новосибирск, пер. Пархоменко 2-й, д. 21",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1931,1 701.90,112
7,2633,"г. Новосибирск, ул. Пермитина, д. 1/1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1951,865.70,37
8,2634,"г. Новосибирск, ул. Пермитина, д. 3",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1959,3 825.80,141
9,2635,"г. Новосибирск, ул. Пермитина, д. 3/1",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1952,873.40,42
10,2636,"г. Новосибирск, ул. Пермитина, д. 3/2",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1951,830.16,40
11,2637,"г. Новосибирск, ул. Пермитина, д. 4",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1964,3 202.70,163
12,2638,"г. Новосибирск, ул. Пермитина, д. 5",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1959,3 665.89,143
13,2639,"г. Новосибирск, ул. Пермитина, д. 6",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1964,3 196.40,159
14,2640,"г. Новосибирск, ул. Пермитина, д. 12",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1965,3 359.00,168
15,2641,"г. Новосибирск, ул. Пермитина, д. 16",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1966,3 376.80,150
16,2642,"г. Новосибирск, ул. Пермитина, д. 18",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1966,3 348.28,162
17,2643,"г. Новосибирск, ул. Пермитина, д. 20",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1968,2 243.80,109
18,2644,"г. Новосибирск, ул. Пермитина, д. 22",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1969,2 235.60,93
19,2645,"г. Новосибирск, ул. Петропавловская, д. 3",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1936,503.37,34
20,2646,"г. Новосибирск, ул. Петропавловская, д. 5А",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1960,615.70,30
21,2647,"г. Новосибирск, ул. Петропавловская, д. 7",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1947,1 904.39,101
22,2648,"г. Новосибирск, ул. Петропавловская, д. 9",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1947,1 024.90,32
23,2649,"г. Новосибирск, ул. Петропавловская, д. 10",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1940,551.00,35
24,2650,"г. Новосибирск, ул. Петропавловская, д. 10а",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1975,6 400.60,225
1,2652,"г. Новосибирск, ул. Петропавловская, д. 17",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1988,5 499.35,175
2,2653,"г. Новосибирск, ул. Петропавловская, д. 17А",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1957,635.80,30
3,2654,"г. Новосибирск, ул. Петропавловская, д. 19",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1986,4 044.70,186
4,2655,"г. Новосибирск, ул. Петропавловская, д. 19а",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1957,698.40,34
5,2656,"г. Новосибирск, ул. Петропавловская, д. 21",УК «Служба заказчика ЖКХ Ленинского района»,383-34-99-517,1957,967.60,55
